1,01/01/2019,15.00,30.00,15.00
2,02/01/2019,16.00,33.00,17.00
3,03/01/2019,16.00,33.00,17.00
4,04/01/2019,19.00,30.00,11.00
5,05/01/2019,17.00,30.00,13.00
6,06/01/2019,16.00,28.00,12.00
7,07/01/2019,16.00,30.00,14.00
8,08/01/2019,16.00,28.00,12.00
9,09/01/2019,20.00,25.00,5.00
10,10/01/2019,20.00,26.00,6.00
11,11/01/2019,14.00,23.00,9.00
12,12/01/2019,15.00,32.00,17.00
13,13/01/2019,17.00,29.00,12.00
14,14/01/2019,14.00,28.00,14.00
15,15/01/2019,17.00,27.00,10.00
16,16/01/2019,19.00,30.00,11.00
17,17/01/2019,16.00,29.00,13.00
18,18/01/2019,14.00,30.00,16.00
19,19/01/2019,13.00,34.00,21.00
20,20/01/2019,19.00,27.00,8.00
21,21/01/2019,13.00,27.00,14.00
22,22/01/2019,9.00,32.00,23.00
23,23/01/2019,12.00,34.00,22.00
24,24/01/2019,20.00,26.00,6.00
25,25/01/2019,16.00,26.00,10.00
26,26/01/2019,17.00,30.00,13.00
27,27/01/2019,15.00,28.00,13.00
28,28/01/2019,12.00,31.00,19.00
29,29/01/2019,13.00,32.00,19.00
30,30/01/2019,15.00,30.00,15.00
31,31/01/2019,14.00,31.00,17.00
32,01/02/2019,15.00,33.00,18.00
33,02/02/2019,17.00,32.00,15.00
34,03/02/2019,17.00,33.00,16.00
35,04/02/2019,19.00,34.00,15.00
36,05/02/2019,20.00,34.00,14.00
37,06/02/2019,19.00,34.00,15.00
38,07/02/2019,17.00,35.00,18.00
39,08/02/2019,18.00,31.00,13.00
40,09/02/2019,21.00,28.00,7.00
41,10/02/2019,18.00,30.00,12.00
42,11/02/2019,13.00,32.00,19.00
43,12/02/2019,15.00,34.00,19.00
44,13/02/2019,20.00,26.00,6.00
45,14/02/2019,13.00,32.00,19.00
46,15/02/2019,15.00,36.00,21.00
47,16/02/2019,15.00,37.00,22.00
48,17/02/2019,17.00,35.00,18.00
49,18/02/2019,14.00,36.00,22.00
50,19/02/2019,20.00,35.00,15.00
51,20/02/2019,15.00,35.00,20.00
52,21/02/2019,17.00,35.00,18.00
53,22/02/2019,19.00,36.00,17.00
54,23/02/2019,18.00,37.00,19.00
55,24/02/2019,17.00,36.00,19.00
56,25/02/2019,21.00,30.00,9.00
57,26/02/2019,15.00,35.00,20.00
58,27/02/2019,16.00,34.00,18.00
59,28/02/2019,17.00,34.00,17.00
60,01/03/2019,17.00,35.00,18.00
61,02/03/2019,20.00,35.00,15.00
62,03/03/2019,19.00,36.00,17.00
63,04/03/2019,18.00,35.00,17.00
64,05/03/2019,22.00,28.00,6.00
65,06/03/2019,19.00,27.00,8.00
66,07/03/2019,17.00,33.00,16.00
67,08/03/2019,15.00,36.00,21.00
68,09/03/2019,16.00,37.00,21.00
69,10/03/2019,18.00,38.00,20.00
70,11/03/2019,20.00,36.00,16.00
71,12/03/2019,19.00,35.00,16.00
72,13/03/2019,18.00,36.00,18.00
73,14/03/2019,19.00,36.00,17.00
74,15/03/2019,20.00,35.00,15.00
75,16/03/2019,22.00,27.00,5.00
76,17/03/2019,18.00,27.00,9.00
77,18/03/2019,20.00,29.00,9.00
78,19/03/2019,19.00,29.00,10.00
79,20/03/2019,20.00,29.00,9.00
80,21/03/2019,20.00,31.00,11.00
81,22/03/2019,20.00,31.00,11.00
82,23/03/2019,17.00,35.00,18.00
83,24/03/2019,18.00,35.00,17.00
84,25/03/2019,16.00,36.00,20.00
85,26/03/2019,20.00,32.00,12.00
86,27/03/2019,22.00,33.00,11.00
87,28/03/2019,20.00,29.00,9.00
88,29/03/2019,16.00,35.00,19.00
89,30/03/2019,16.00,36.00,20.00
90,31/03/2019,18.00,36.00,18.00
91,01/04/2019,21.00,31.00,10.00
